
Re(x1)   Im(x1)    Re(x2)    Im(x2)    Re(x3)  Im(x3)    Re(x4)   Im(x4)
0.745449 -0.333409 -0.590916 -0.249054 1.43789 -0.650485 0.745449 -0.333409
0.785519 -0.335175 -0.555302 -0.267018 1.44724 -0.79075 0.785519 -0.335175
0.676194 -0.335104 -0.59432 -0.231188 1.44486 -0.587807 0.676194 -0.335104
0.623945 -0.369627 -0.629837 -0.27291 1.32786 -0.622571 0.623945 -0.369627
0.740945 -0.3202 -0.561893 -0.241318 1.43394 -0.685525 0.740945 -0.3202
0.650791 -0.390795 -0.585804 -0.270507 1.43205 -0.623761 0.650791 -0.390795
0.631525 -0.41685 -0.609772 -0.293151 1.32935 -0.607501 0.631525 -0.41685
0.819115 -0.375037 -0.586057 -0.288963 1.32409 -0.901427 0.819115 -0.375037
0.570923 -0.488613 -0.642512 -0.249025 1.18854 -0.57211 0.570923 -0.488613
0.648596 -0.456394 -0.613455 -0.264206 1.29062 -0.612349 0.648596 -0.456394
0.727635 -0.41346 -0.595568 -0.285938 1.40388 -0.83758 0.727635 -0.41346
0.791931 -0.411786 -0.572809 -0.293631 1.27697 -0.87462 0.791931 -0.411786
0.731353 -0.38098 -0.528784 -0.267097 1.43006 -0.779337 0.731353 -0.38098
0.726401 -0.462175 -0.546691 -0.306726 1.31027 -0.76746 0.726401 -0.462175
0.789628 -0.388819 -0.50159 -0.294831 1.37634 -0.910931 0.789628 -0.388819
0.694197 -0.396855 -0.507097 -0.299295 1.46826 -0.805061 0.694197 -0.396855
0.655542 -0.423655 -0.565283 -0.287272 1.34973 -0.762078 0.655542 -0.423655
0.750475 -0.425422 -0.539618 -0.287184 1.3343 -0.821179 0.750475 -0.425422
0.761816 -0.452996 -0.475024 -0.365874 1.37015 -0.974743 0.761816 -0.452996
0.643462 -0.389063 -0.516536 -0.262734 1.39387 -0.846295 0.643462 -0.389063
0.732398 -0.418272 -0.433843 -0.332541 1.60531 -1.1794 0.732398 -0.418272
0.641641 -0.357305 -0.494491 -0.276431 1.54825 -1.14896 0.641641 -0.357305
0.6515 -0.467728 -0.3973 -0.355693 1.39143 -1.1948 0.6515 -0.467728
0.668725 0.44223 -0.401616 0.311702 1.43947 1.36127 0.668725 0.44223
0.64833 0.368292 -0.446186 0.291596 1.46173 1.40349 0.64833 0.368292
0.495428 0.444089 -0.429327 0.406621 1.35922 1.14495 0.495428 0.444089
0.699299 0.459892 -0.374915 0.318701 1.34595 1.34444 0.699299 0.459892
0.617856 0.45196 -0.431392 0.340717 1.23484 1.48131 0.617856 0.45196
0.450023 0.500118 -0.536195 0.412119 1.01107 1.0752 0.450023 0.500118
0.433538 0.542156 -0.470399 0.453163 1.04705 1.03249 0.433538 0.542156
0.448359 0.620214 -0.516713 0.47764 0.908876 1.05372 0.448359 0.620214
0.41957 0.470512 -0.501879 0.425867 1.23695 0.994276 0.41957 0.470512
0.575449 0.566284 -0.485375 0.429366 0.844026 1.15979 0.575449 0.566284
0.512719 0.452027 -0.467611 0.456601 1.28486 1.01255 0.512719 0.452027
0.733971 0.708772 -0.391309 0.574407 0.609877 1.21668 0.733971 0.708772
0.899382 0.851211 -0.61266 0.612424 0.151485 0.676186 0.899382 0.851211
1.17547 0.978162 -0.519404 0.456827 0.497106 0.518787 1.17547 0.978162
0.981888 1.19096 -0.396138 0.686514 0.500468 0.606514 0.981888 1.19096
0.863562 0.850873 -0.643308 0.451155 0.291025 0.605158 0.863562 0.850873
0.31353 -1.03379 -0.226556 -0.729528 0.8804 -0.781093 0.31353 -1.03379
0.033465 0.367718 -0.722796 0.543345 0.892888 0.621767 -0.39583 2.53394
0.371077 0.596976 -0.65586 0.412959 0.817077 0.825208 -0.611274 1.65448
0.245676 0.397698 -0.683966 0.475445 1.04499 0.731174 -0.810691 1.75009
0.221231 0.405503 -0.703975 0.418207 0.990049 0.668917 -0.67714 2.30254
0.0435925 0.260124 -0.812766 0.437936 0.926499 0.544503 0.0866932 3.79334
0.00430706 0.413859 -0.688325 0.462448 0.811201 0.474571 -0.79757 3.48138
0.127655 0.402975 -0.67449 0.522559 0.989863 0.620039 -1.35398 2.0556
-0.327102 0.455156 -0.940882 -0.159418 1.35116 0.512122 1.31678 -0.415881
0.335884 -0.862345 -0.275137 -0.950935 0.467764 -0.0943406 0.335926 -0.862339
1.31678 -0.415881 -0.327102 0.455158 -0.940882 -0.159418 1.31678 -0.415881
1.49666 -0.440199 0.082907 0.918435 -1.44727 0.193363 1.49666 -0.440198
-0.0533987 -0.520304 0.523052 -0.109156 -1.88817 -0.336273 0.23805 -1.78704
0.218749 -0.208755 -0.694329 -0.275412 -2.77826 -1.31967 1.26255 -0.0668278
-0.327102 0.455158 -0.940882 -0.159418 1.31678 -0.415881 1.35116 0.512122
0.34149 -0.137595 -0.556845 -0.500184 0.994819 0.179735 0.34149 -0.137574
0.34571 0.00251502 -0.834767 -0.319752 1.04467 -0.399709 0.345724 0.0025109
